INFO  - 2014-07-22 15:23:19.986; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2014-07-22 15:23:20.000; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor C:\Development\tailswitch\thirdParty\solr\example\contexts at interval 0
INFO  - 2014-07-22 15:23:20.004; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: C:\Development\tailswitch\thirdParty\solr\example\contexts\solr-jetty-context.xml
INFO  - 2014-07-22 15:23:20.038; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/C:/Development/tailswitch/thirdParty/solr/example/webapps/solr.war!/ to C:\Development\tailswitch\thirdParty\solr\example\solr-webapp\webapp
INFO  - 2014-07-22 15:23:21.685; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2014-07-22 15:23:21.718; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2014-07-22 15:23:21.725; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2014-07-22 15:23:21.726; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2014-07-22 15:23:21.726; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2014-07-22 15:23:21.788; org.apache.solr.core.ConfigSolr; Loading container configuration from C:\Development\tailswitch\thirdParty\solr\example\solr\solr.xml
INFO  - 2014-07-22 15:23:21.830; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: C:\Development\tailswitch\thirdParty\solr\example\solr
INFO  - 2014-07-22 15:23:21.835; org.apache.solr.core.CoreContainer; New CoreContainer 2033968586
INFO  - 2014-07-22 15:23:21.836; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2014-07-22 15:23:21.844; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2014-07-22 15:23:21.844; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2014-07-22 15:23:21.846; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2014-07-22 15:23:21.847; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2014-07-22 15:23:21.848; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2014-07-22 15:23:21.848; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2014-07-22 15:23:21.848; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2014-07-22 15:23:21.848; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2014-07-22 15:23:21.849; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2014-07-22 15:23:21.967; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2014-07-22 15:23:21.967; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2014-07-22 15:23:21.968; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2014-07-22 15:23:26.527; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath C:\Development\tailswitch\thirdParty\solr\example\solr
INFO  - 2014-07-22 15:23:26.532; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in C:\Development\tailswitch\thirdParty\solr\example\solr\collection1\
INFO  - 2014-07-22 15:23:26.533; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2014-07-22 15:23:26.534; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'C:\Development\tailswitch\thirdParty\solr\example\solr\collection1\'
INFO  - 2014-07-22 15:23:26.570; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2014-07-22 15:23:26.571; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2014-07-22 15:23:26.571; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
